crab_id,collection_date,species,carapace_width,abdomen_width,sex,gravid,eds,location,notes,nico_date,first_location,dissected,nico_location,ever_gravid,final_notes,analysis_status
ANT-GAV-057,03/31/2023,cancer_anthonyi,131,43,F,Y,F,gaviota,,03/31/2023,eggs,no,egg_mass,Y,NA,include
ANT-GAV-058,03/31/2023,cancer_anthonyi,117,38,F,Y,F,gaviota,right pincher has shorter upper claw,03/31/2023,eggs,no,egg_mass,Y,NA,include
ANT-GAV-059,03/31/2023,cancer_anthonyi,135,47,F,Y,D,gaviota,small black injury mark on bottom of the top of the carapace,03/31/2023,eggs,no,egg_mass,Y,NA,include
ANT-GAV-060,03/31/2023,cancer_anthonyi,133,41,F,Y,A,gaviota,"Has light yellow color, barnacles on both bottom legs and left pncher",04/02/2023,eggs,no,egg_mass,Y,NA,include
MANT-GAV-008,03/31/2023,cancer_anthonyi,129,11,M,NA,NA,gaviota,,04/04/2023,gills,yes,gills,NA,NA,include
MANT-GAV-009,03/31/2023,cancer_anthonyi,151,21,M,NA,NA,gaviota,,04/04/2023,gills,yes ,gills,NA,NA,include
MANT-GAV-010,03/31/2023,cancer_anthonyi,144,12,M,NA,NA,gaviota,,04/04/2023,gills,yes ,gills,NA,NA,include
MANT-GAV-011,03/31/2023,cancer_anthonyi,149,18,M,NA,NA,gaviota,,04/10/2023,gills,yes,gills,NA,NA,include
MPRO-GAV-002,03/31/2023,cancer_productus,150,17,M,NA,NA,gaviota,one SMOL claw!!!,04/12/2023,gills,yes ,gills,NA,NA,include
PRO-GAV-006,03/31/2023,cancer_productus,124,33,F,Y,A,gaviota,small barnacle on topside bottom right,03/31/2023,eggs,no,egg_mass,Y,NA,include
MANT-GAV-012,04/21/2023,cancer_anthonyi,129,12,M,NA,NA,gaviota,Smallish,04/26/2023,gills,yes,gills,NA,NA,include
MANT-GAV-013,04/21/2023,cancer_anthonyi,139,26,M,NA,NA,gaviota,slightly bigger than smallest,05/03/2023,gills,yes,gills,NA,NA,include
MANT-GAV-014,04/21/2023,cancer_anthonyi,143,20,M,NA,NA,gaviota,lighter color,05/03/2023,gills,yes ,gills,NA,NA,include
MANT-GAV-015,04/21/2023,cancer_anthonyi,125,11,M,NA,NA,gaviota,no barnacles on top of carapace or blemishes,04/26/2023,gills,yes ,gills,NA,NA,include
MPRO-GAV-003,04/21/2023,cancer_productus,162,22,M,NA,NA,gaviota,"large, missing left pincher",04/26/2023,gills,yes ,gills,NA,NA,include
PRO-GAV-007,05/05/2023,cancer_productus,157,51,F,N,NA,gaviota,big crab,not observed ,NA,yes,neither,N,-this crab never had eggs for us to examine but no nicos were seen in the gills during the dissection ,include
PRO-GAV-008,05/05/2023,cancer_productus,155,49,F,N,NA,gaviota,"big, darker/more grey near head. tiny white barnacle on the right side",05/16/2023,gills,yes,gills,N,NA,include
MPRO-GAV-004,05/05/2023,cancer_productus,165,21,M,NA,NA,gaviota,big,NA,NA,no,NA,NA,died before examination,exclude
MATS-GAV-001,05/05/2023,cancer_antennarius,142,17,M,NA,NA,gaviota,huge pinchers but body not too large,05/10/2023,NA,yes,gills,NA,-this crab had a polychete and appears to be not in good health overall ,include
MATS-GAV-002,05/05/2023,cancer_antennarius,131,15,M,NA,NA,gaviota,big pinchers also relatively small,05/16/2023,gills,yes,gills,NA,NA,include
PRO-ALE-001,04/16/2023,cancer_productus,NA,NA,F,Y,unk,alegria,"-this is the first time that we have seen adult nicos in a red rock crab 
-all photos taken after ethanoling ",04/17/2023,eggs,no,egg_mass,Y,NA,include
MPRO-GAV-005,05/19/2023,cancer_productus,157,18,M,NA,NA,gaviota,hold top of carpace,05/31/2023,gills,yes,gills,NA,NA,include
MPRO-GAV-006,05/19/2023,cancer_productus,180,24,M,NA,NA,gaviota,big af,06/07/2023,gills,yes,gills,NA,NA,include
ATS-GAV-002,05/19/2023,cancer_antennarius,128,41,F,Y,M,gaviota,"-taking photos at 157.5x magnification of adult nicos
-all life stages of nicos present in sample",05/19/2023,eggs,yes,both,Y,NA,include
ATS-GAV-003,05/19/2023,cancer_antennarius,103,31,F,N,NA,gaviota,bebe,05/24/2023,gills,yes,gills,N,"- this crab molted on 05/23/2023 and the molt was placed in running seawater until the molt and gills could be examined on 05/24/2023
-there were nicos found in the gills of the exuvia on 05/24/2023",include
MATS-GAV-003,05/19/2023,cancer_antennarius,134,18,M,NA,NA,gaviota,big claws,05/31/2023,gills,yes,gills,NA,NA,include
MATS-GAV-004,05/19/2023,cancer_antennarius,152,19,M,NA,NA,gaviota,,06/07/2023,gills,yes ,gills,NA,NA,include
MATS-GAV-005,05/19/2023,cancer_antennarius,126,15,M,NA,NA,gaviota,,05/16/2023,gills,yes ,gills,NA,NA,include
ATS-GAV-003 (post molt),05/24/2023,cancer_antennarius,127,39,F,N,NA,gaviota,measurements after molting ,05/24/2023,gills,yes ,gills,N,-this is the crab that molted ,include
ANT-SIO-002,05/24/2023,cancer_anthonyi,85,28,F,Y,J,scripps,-first crab from San Diego with nicos,05/25/2023,eggs,no,egg_mass,Y,-this is the first crab that has nicos that is not from Santa Barbara that we have examined and confirmed presence of nicos ,include
MATS-GAV-006,06/09/2023,cancer_antennarius,138,20,M,NA,NA,gaviota,"missing right pincher, crack on carapace near top of bottom right leg",06/30/2023,gils,yes,gills,NA,NA,include
MATS-GAV-007,06/09/2023,cancer_antennarius,123,16,M,NA,NA,gaviota,"missing left pincher, crack on bottom left leg",NA,NA,no,NA,NA,died before examination,exclude
MATS-GAV-008,06/09/2023,cancer_antennarius,125,15,M,NA,NA,gaviota,both claws intact,06/14/2023,gills,yes,gills,NA,was dead due to lack of water flow for up to 48 hours before dissected,include
MATS-GAV-009,06/09/2023,cancer_antennarius,134,21,M,NA,NA,gaviota,large male big pinchers,06/14/2023,gills,yes,gills,NA,was dead due to lack of water flow for up to 48 hours before dissected,include
ATS-GAV-004,06/09/2023,cancer_antennarius,111,33,F,N,NA,gaviota,so small,06/30/2023,gills,yes,gills,N,NA,include
ANT-GAV-061,06/09/2023,cancer_anthonyi,138,48,F,Y,D,gaviota,,NA,NA,no,NA,Y,was only examined on the day of collection (not sufficent search effort),exclude
ANT-GAV-062,06/09/2023,cancer_anthonyi,129,45,F,Y,E,gaviota,yes to nicos ,06/09/2023,eggs,no,egg_mass,Y,NA,include
ANT-GAV-063,06/09/2023,cancer_anthonyi,136,46,F,Y,E,gaviota,barnacles on carapace and leg,06/21/2023,eggs,yes,both,Y,NA,include
ANT-GAV-064,06/09/2023,cancer_anthonyi,129,44,F,Y,F,gaviota,,06/21/2023,eggs,no,egg_mass,Y,NA,include
IFATS-HEN-001,06/15/2023,cancer_antennarius,56,14,F,N,NA,hendrys,,not observed,NA,yes,neither,NA,NA,include
IFATS-HEN-002,06/15/2023,cancer_antennarius,56,13,F,N,NA,hendrys,,not observed,NA,yes,neither,NA,NA,include
